viewpoint,avg_distance
theta000_phi000,79.215
theta000_phi020,78.968
theta000_phi040,81.236
theta000_phi060,83.637
theta000_phi080,81.831
theta000_phi100,80.407
theta000_phi120,78.294
theta000_phi140,79.184
theta000_phi160,81.797
theta000_phi180,80.581
theta000_phi200,81.531
theta000_phi220,79.373
theta000_phi240,83.583
theta000_phi260,85.402
theta000_phi280,84.938
theta000_phi300,77.904
theta000_phi320,79.999
theta000_phi340,79.025
theta010_phi000,73.739
theta010_phi020,74.926
theta010_phi040,77.294
theta010_phi060,79.484
theta010_phi080,80.570
theta010_phi100,81.235
theta010_phi120,80.246
theta010_phi140,80.968
theta010_phi160,82.335
theta010_phi180,83.243
theta010_phi200,81.221
theta010_phi220,79.336
theta010_phi240,82.614
theta010_phi260,82.129
theta010_phi280,77.793
theta010_phi300,75.071
theta010_phi320,72.956
theta010_phi340,73.146
theta020_phi000,67.994
theta020_phi020,69.766
theta020_phi040,69.776
theta020_phi060,76.483
theta020_phi080,76.386
theta020_phi100,78.042
theta020_phi120,74.393
theta020_phi140,74.534
theta020_phi160,76.777
theta020_phi180,79.444
theta020_phi200,80.618
theta020_phi220,79.916
theta020_phi240,73.965
theta020_phi260,73.312
theta020_phi280,76.421
theta020_phi300,70.199
theta020_phi320,68.914
theta020_phi340,67.273
theta030_phi000,58.980
theta030_phi020,63.166
theta030_phi040,66.262
theta030_phi060,69.374
theta030_phi080,74.230
theta030_phi100,72.614
theta030_phi120,70.676
theta030_phi140,68.705
theta030_phi160,70.326
theta030_phi180,69.121
theta030_phi200,71.233
theta030_phi220,68.587
theta030_phi240,74.813
theta030_phi260,70.599
theta030_phi280,67.843
theta030_phi300,64.807
theta030_phi320,61.457
theta030_phi340,59.561
theta040_phi000,44.709
theta040_phi020,47.012
theta040_phi040,56.086
theta040_phi060,68.031
theta040_phi080,73.587
theta040_phi100,72.060
theta040_phi120,62.866
theta040_phi140,61.943
theta040_phi160,67.612
theta040_phi180,62.813
theta040_phi200,63.116
theta040_phi220,66.258
theta040_phi240,62.069
theta040_phi260,63.658
theta040_phi280,61.502
theta040_phi300,64.917
theta040_phi320,60.495
theta040_phi340,47.831
theta050_phi000,36.488
theta050_phi020,35.978
theta050_phi040,44.351
theta050_phi060,67.746
theta050_phi080,67.091
theta050_phi100,64.131
theta050_phi120,52.777
theta050_phi140,53.691
theta050_phi160,52.823
theta050_phi180,55.684
theta050_phi200,55.985
theta050_phi220,50.030
theta050_phi240,53.354
theta050_phi260,56.900
theta050_phi280,58.869
theta050_phi300,57.428
theta050_phi320,54.720
theta050_phi340,39.805
theta060_phi000,24.565
theta060_phi020,29.488
theta060_phi040,34.378
theta060_phi060,61.771
theta060_phi080,46.996
theta060_phi100,41.934
theta060_phi120,47.602
theta060_phi140,51.685
theta060_phi160,49.969
theta060_phi180,46.575
theta060_phi200,49.096
theta060_phi220,40.371
theta060_phi240,61.474
theta060_phi260,48.035
theta060_phi280,53.098
theta060_phi300,56.089
theta060_phi320,46.392
theta060_phi340,28.927
theta070_phi000,57.767
theta070_phi020,27.564
theta070_phi040,28.062
theta070_phi060,40.939
theta070_phi080,30.610
theta070_phi100,31.636
theta070_phi120,39.607
theta070_phi140,42.814
theta070_phi160,46.153
theta070_phi180,44.005
theta070_phi200,35.249
theta070_phi220,30.674
theta070_phi240,65.195
theta070_phi260,43.369
theta070_phi280,47.395
theta070_phi300,36.219
theta070_phi320,32.071
theta070_phi340,27.476
theta080_phi000,32.409
theta080_phi020,19.704
theta080_phi040,20.102
theta080_phi060,15.447
theta080_phi080,45.419
theta080_phi100,28.692
theta080_phi120,37.213
theta080_phi140,34.867
theta080_phi160,25.154
theta080_phi180,14.786
theta080_phi200,32.163
theta080_phi220,33.045
theta080_phi240,45.789
theta080_phi260,26.547
theta080_phi280,18.766
theta080_phi300,15.615
theta080_phi320,14.153
theta080_phi340,15.735
theta090_phi000,29.479
theta090_phi020,33.392
theta090_phi040,9.588
theta090_phi060,18.100
theta090_phi080,38.800
theta090_phi100,7.056
theta090_phi120,19.728
theta090_phi140,8.545
theta090_phi160,10.909
theta090_phi180,8.935
theta090_phi200,27.563
theta090_phi220,60.428
theta090_phi240,52.244
theta090_phi260,18.777
theta090_phi280,5.103
theta090_phi300,11.659
theta090_phi320,14.848
theta090_phi340,12.784
full_scene,54.917
